Course_Code,Course_Title,L-T-P-S-C,Faculty,Is_Combined,Semester_Half,Elective,Students,ElectiveBasket
CS265,Software Engineering,3-1-0-0-2,Dr. Sunil P V,1,0,0,85,0
CS266,Database Management System,3-0-2-0-4,Dr. Pramod,1,0,0,85,0
CS304,Artificial Intelligence,3-1-0-0-4,Dr. Krishnendu,1,0,0,85,0
CS267,Systems and Usable Security,3-1-0-0-2,Dr. Malay,0,0,0,83,0
CS206,Theory Of Computing,3-1-0-0-4,Dr. Animesh Roy & Dr. Pavan,1,0,0,84,0
EC255,Embedded Intelligent Sensing Systems,3-1-0-0-2,Dr. Sibasankar Padhy,0,1,1,30,1
EC256,Edge AI Systems Design,3-1-0-0-2,Dr. Deepak K.T.,0,1,1,0,1
CS252,Digital Forensic,3-1-0-0-2,Dr. Abdul Wahid,1,1,1,0,2
EC257,Causal Inference,3-1-0-0-2,Dr. Chinmayananda A,1,1,1,0,2
CS253,Time Series Forecasting and Applications,3-1-0-0-2,Dr. Nataraj,1,1,1,12,1
